x,y,nothing
33.36689, -112.07335, 
33.36679, -112.07336, 
33.36668, -112.07336, 
33.36658, -112.07337, 
33.36648, -112.07336, 
33.36637, -112.07337, 
33.36627, -112.07337, 
33.36617, -112.07337, 
33.36607, -112.07337, 
33.36598, -112.07336, 
33.36588, -112.07336, 
33.36578, -112.07334, 
33.36568, -112.07333, 
33.36558, -112.07332, 
33.36547, -112.07332, 
33.36536, -112.07332, 
33.36525, -112.07331, 
33.36514, -112.07332, 
33.36502, -112.07332, 
33.36492, -112.07332, 
33.36481, -112.07332, 
33.36469, -112.07333, 
33.36458, -112.07333, 
33.36448, -112.07333, 
33.36438, -112.07333, 
33.36427, -112.07333, 
33.36418, -112.07332, 
33.36409, -112.07331, 
33.36399, -112.07331, 
33.36390, -112.07332, 
33.36380, -112.07332, 
33.36371, -112.07332, 
33.36361, -112.07333, 
33.36351, -112.07332, 
33.36342, -112.07332, 
33.36333, -112.07332, 
33.36324, -112.07332, 
33.36314, -112.07332, 
33.36305, -112.07331, 
33.36296, -112.07332, 
33.36286, -112.07332, 
33.36277, -112.07332, 
33.36268, -112.07332, 
33.36258, -112.07332, 
33.36247, -112.07332, 
33.36237, -112.07332, 
33.36227, -112.07331, 
33.36217, -112.07332, 
33.36207, -112.07333, 
33.36197, -112.07333, 
33.36189, -112.07332, 
33.36178, -112.07333, 
33.36168, -112.07333, 
33.36158, -112.07333, 
33.36147, -112.07332, 
33.36136, -112.07333, 
33.36125, -112.07333, 
33.36115, -112.07333, 
33.36105, -112.07332, 
33.36094, -112.07333, 
33.36084, -112.07332, 
33.36073, -112.07332, 
33.36061, -112.07333, 
33.36051, -112.07332, 
33.36041, -112.07332, 
33.36030, -112.07332, 
33.36021, -112.07331, 
33.36010, -112.07331, 
33.36000, -112.07331, 
33.35989, -112.07331, 
33.35978, -112.07331, 
33.35965, -112.07332, 
33.35955, -112.07332, 
33.35944, -112.07331, 
33.35933, -112.07331, 
33.35922, -112.07331, 
33.35912, -112.07331, 
33.35902, -112.07330, 
33.35892, -112.07329, 
33.35881, -112.07329, 
33.35872, -112.07329, 
33.35862, -112.07329, 
33.35851, -112.07328, 
33.35840, -112.07327, 
33.35829, -112.07327, 
33.35818, -112.07326, 
33.35807, -112.07325, 
33.35797, -112.07323, 
